Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,On hand (current),On hand (new)
configurator-baseball-jersey,Baseball Jersey,Size,Adult Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-SMALL,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-SMALL,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Small,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-SMALL,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Medium,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-MEDIUM,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-LARGE,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult X-Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult X-Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult X-Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult X-Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult X-Large,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-X-LARGE,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 2XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 2XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 2XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 2XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 2XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-2XL,True North Classical Academy,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 3XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,1000 Brickell Avenue,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 3XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,Henry H Filer Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 3XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,Rockway Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 3XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,Shenandoah Middle School,,,9999999
configurator-baseball-jersey,Baseball Jersey,Size,Adult 3XL,,,,,CONFIGURATOR-BASEBALL-JERSEY-ADULT-3XL,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-SMALL,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Medium,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-MEDIUM,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Youth Large,,,,,CONFIGURATOR-BASKETBALL-JERSEY-YOUTH-LARGE,True North Classical Academy,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,1000 Brickell Avenue,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,Henry H Filer Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,Rockway Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,Shenandoah Middle School,,,9999999
configurator-basketball-jersey,Basketball Jersey and Shorts,Size,Adult X-Small,,,,,CONFIGURATOR-BASKETBALL-JERSEY-ADULT-X-SMALL,True North Classical Academy,,,9999999
