Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sports-bag-bc-0452,Sports Bag- BC-0452,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_0010.jpg?v=1757970936,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0451,Sports Bag- BC-0451,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_009.jpg?v=1757966425,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0450,Sports Bag- BC-0450,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_008.jpg?v=1757966044,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0449,Sports Bag- BC-0449,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_007.jpg?v=1757964372,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0448,Sports Bag- BC-0448,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_006.jpg?v=1757801105,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0447,Sports Bag- BC-0447,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_005.jpg?v=1757796945,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-product-code-bc-0446,Sports Bag- BC-0446,"",Besu Customs,Uncategorized,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_004.jpg?v=1757796427,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0445,Sports Bag- BC-0445,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_003.jpg?v=1757794825,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0444,Sports Bag- BC-0444,"",Besu Customs,Luggage & Bags > Duffel Bags > Gym Duffel Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_002.jpg?v=1756835334,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
sports-bag-bc-0443,Sports Bag- BC-0443,"",Besu Customs,Sporting Goods > Athletics > General Purpose Athletic Equipment > Ball Carrying Bags & Carts > Ball Carrying Bags,Sports Accessories,Sports Bags,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/7436/7766/files/xhs_sports_bag_001.jpg?v=1756833236,1,"",false,,,,,,,,,,,,lb,,,true,,,true,,,draft
